draw,rc,term,estimate,raw_gap,N
21,0,urban2000_10,.0048302491616686,-.0952313661358124,15528
21,0,diff,-.0952313661358124,-.0952313661358124,15528
21,0,expl,-.086820534537568,-.0952313661358124,15528
21,0,pr_0,.1512770137524558,-.0952313661358124,15528
21,0,pr_1,.2465083798882682,-.0952313661358124,15528
22,0,edu,-.0045827596157669,-.0284549309518946,24964
22,0,plants,-.017510368413468,-.0284549309518946,24964
22,0,age,-.0014919957156585,-.0284549309518946,24964
22,0,gender,-.0000219351383929,-.0284549309518946,24964
22,0,marriage,-.0004946823803071,-.0284549309518946,24964
22,0,ln_income,.0000753236921787,-.0284549309518946,24964
22,0,health,.000495553713253,-.0284549309518946,24964
22,0,sportsArea,.006411849651655,-.0284549309518946,24964
22,0,year14,-.0025157933888489,-.0284549309518946,24964
22,0,rice10,-.0088389124770552,-.0284549309518946,24964
22,0,ln_gdp_hist,.0235516562040368,-.0284549309518946,24964
22,0,urban2000_10,-.0130054100220375,-.0284549309518946,24964
22,0,diff,-.0284549309518946,-.0284549309518946,24964
22,0,expl,-.0177225845455576,-.0284549309518946,24964
22,0,pr_0,.144952923144296,-.0284549309518946,24964
22,0,pr_1,.1734078540961906,-.0284549309518946,24964
23,0,edu,-.0154265841640363,-.0788723059783042,12557
23,0,plants,-.0106265190217928,-.0788723059783042,12557
23,0,age,.0033900678049177,-.0788723059783042,12557
23,0,gender,.0017002937203015,-.0788723059783042,12557
23,0,marriage,.0023422906235793,-.0788723059783042,12557
23,0,ln_income,-.0004555866327051,-.0788723059783042,12557
23,0,health,-.0038313021469742,-.0788723059783042,12557
23,0,sportsArea,-.000320444552051,-.0788723059783042,12557
23,0,year14,-.0145044302228296,-.0788723059783042,12557
23,0,rice10,-.0366687898329395,-.0788723059783042,12557
23,0,ln_gdp_hist,-.0071880467616973,-.0788723059783042,12557
23,0,urban2000_10,-.0008292520962375,-.0788723059783042,12557
23,0,diff,-.0788723059783042,-.0788723059783042,12557
23,0,expl,-.0823239602952483,-.0788723059783042,12557
23,0,pr_0,.1538018433179723,-.0788723059783042,12557
23,0,pr_1,.2326741492962765,-.0788723059783042,12557
24,0,edu,-.0060724553069243,-.0416531462117884,13438
24,0,plants,.0116699475441044,-.0416531462117884,13438
24,0,age,.0009149104488864,-.0416531462117884,13438
24,0,gender,-.0002051027330989,-.0416531462117884,13438
24,0,marriage,-.0009654906710567,-.0416531462117884,13438
24,0,ln_income,.0005424012485039,-.0416531462117884,13438
24,0,health,-.0014067687340951,-.0416531462117884,13438
24,0,sportsArea,.0026940116663538,-.0416531462117884,13438
24,0,year14,-.0039202298746167,-.0416531462117884,13438
24,0,rice10,-.0649585301473827,-.0416531462117884,13438
24,0,ln_gdp_hist,.017794851404247,-.0416531462117884,13438
24,0,urban2000_10,-.0028872048516049,-.0416531462117884,13438
24,0,diff,-.0416531462117884,-.0416531462117884,13438
24,0,expl,-.0467933013331195,-.0416531462117884,13438
24,0,pr_0,.1574861919689506,-.0416531462117884,13438
24,0,pr_1,.199139338180739,-.0416531462117884,13438
